gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion,gi
5591,207,140.5,1022592.5,0,21,0,14,0,0,141.5,3956.5,10809,15515.5,17802,19278,497.5,140.5,1,3,9,9,SL
5454,2540895,4,218544,0,3.5,0,15.5,0,0,5,288.5,2841,6779,12558,16762,0,4,0,26,0,0,NOT
2577,5015,1.5,736,0,1.5,0.5,17,0,0,2.5,35,832.5,4781,9830.5,14248.5,0,1.5,0,8,2,3,NOT
701,4666,26,57160,0,11.5,0,15,0,0,27,823.5,6966.5,12658,16591.5,18426,61,26,0,3,5,5,SL
7531,7343,83.5,518284,0,17.5,0,15,0,0,84.5,2597,9360,14191,17326.5,18894.5,271.5,83.5,1,8,1,1,SL
855426,851049,9.5,17111,0,6.5,0,17,0,0,10.5,198.5,2081.5,4470.5,11124.5,16178,16.5,9.5,0,5,1,1,NOT
9997,10106,2.5,1899,0,2,0.5,16.5,0,0,3.5,80,2340,8783.5,13600,16944,0,2.5,0,7,1,1,SL
852025,7384,16,7492,0,12,0,16.5,0,0,17,232,3428,7573.5,12357,16797,51.5,16,0,8,3,3,NOT
9402,4893,79,129842,0,14.5,0,15.5,0,0,80,985,7674,13237,16581.5,18333.5,123,79,0,26,0,0,SL
38154,285237,1,0,0,1,1,18,0,0,2,22,344,3694,7072.5,9162.5,0,1,0,5,1,1,NOT
3845,57403,195.5,1740856,0,10.5,0,16,0,0,196.5,1424.5,5222,9203.5,13696,16573.5,266.5,195.5,0,6,6,6,SL
3265,10787,70.5,403731.5,0,12,0,15.5,0,0,71.5,1035,6910,12774.5,16393.5,18173.5,119,70.5,0,5,1,1,SL
993,5591,62.5,259300,0,20.5,0,14,0,0,63.5,2853.5,9859.5,15026,17530.5,18968.5,198,62.5,1,26,0,0,SL
5293,11156,7,4225,0,5.5,0,16,0,0,8,221.5,4479.5,11145.5,15243.5,17844,2,7,0,8,2,2,SL
4697,6755,14,21647,0.5,9,0.5,8,0,0,15,730,3717.5,6065.5,8096,9126.5,18.5,14,0,13,1,1,SL
4784,672,146.5,1431046.5,0,14,0,14.5,0,0,147.5,2417,7504.5,13311.5,16734,18620.5,771,146.5,0,3,1,1,SL
5635,852458,2.5,177.5,0,2.5,0.5,17,0,0,3.5,80.5,2491,7066,10791,15606.5,2,2.5,0,9,1,1,NOT
8085,55140,13.5,22767.5,0,10,0,15.5,0,0,14.5,741.5,4939.5,11667.5,15819,18133.5,38,13.5,0,26,0,0,SL
27152,4893,70.5,112134.5,0,9.5,0.5,8.5,0,0,71.5,672.5,4252.5,7160,8489.5,9239,115.5,70.5,0,11,1,1,SL
37089,2541054,2.5,22640,0,1.5,0,19.5,0,0,3.5,14,54,191.5,795.5,4301,0.5,2.5,0,6,2,2,NOT
18571,64968,4.5,1897,0,4,0,16.5,0,0,5.5,188,1495.5,5628.5,11189,15814.5,5.5,4.5,0,6,2,2,NOT
4437,5810,14.5,5984.5,0,12,0,15,0,0,15.5,781.5,6413,12073.5,16361,18278,30.5,14.5,1,8,2,4,SL
53918,6193,33,6886,0,19.5,0,15,0,0,34,916,6574,12439,16378.5,18096,634.5,33,0,8,13,14,SL
9322,843357,8.5,7894.5,0,6.5,0,17.5,0,0,9.5,205,2922,6753,8615.5,9671.5,3.5,8.5,0,26,0,0,NOT
1445,9910,16.5,25808.5,0,10.5,0,15.5,0,0,17.5,628,5614,11596.5,16056,18085.5,20,16.5,0,5,10,10,SL
27243,81572,12.5,13966,0,10,0,16,0,0,13.5,229,3626,10360.5,15026,17650,45,12.5,0,5,14,14,SL
3665,7128,33,51594.5,0,16,0,15,0,0,34,1288.5,8661,13824.5,16994.5,18591.5,92,33,1,8,1,1,SL
472,2965,50,185705,0,16,0,15,0,0,51,1891.5,8867.5,14844.5,17418.5,18670,146,50,0,4,5,5,SL
26253,8883,28,21387.5,0,11,0,15.5,0,0,29,626,6885,12874.5,16372.5,18102.5,15,28,0,2,14,14,SL
142,5970,130.5,642464,0,21,0,14,0,0,131.5,3293.5,10474.5,15397,17779,19283,526.5,130.5,1,8,1,1,SL
266553,6160,60.5,61163,0,19.5,0,15,0,0,61.5,962.5,6211,12751.5,16608,18284.5,816,60.5,0,26,0,0,NOT
27173,60481,2.5,9,0,2,0.5,17.5,0,0,3.5,19,1097,5175.5,10335.5,14353.5,0,2.5,0,2,2,2,SL
11113,54822,9,7531.5,0,7.5,0,16,0,0,10,1030,6740,11826,15920.5,17996,6.5,9,0,5,12,12,SL
3845,1537,203,1741840,0,16,0,15.5,0,0,204,1607,8042.5,13230.5,16574.5,18370,285,203,0,7,5,6,SL
8883,6591,7.5,2195,0,7,0,15.5,0,0,8.5,603,6529.5,12628.5,16467.5,18266,7.5,7.5,0,26,0,0,SL
6457,347733,5.5,6144,0,5,0,15.5,0,0,6.5,575.5,5087,11430,15862.5,18054.5,4,5.5,0,9,1,1,SL
7917,7157,311.5,12065054.5,0,24,0,14,0.5,0.5,312.5,4369,11825.5,15898.5,17871,19206.5,2021,311.5,1,6,1,1,SL
596,7316,210.5,5172708.5,0,21.5,0,14.5,0,0,211.5,3779.5,11443,15844.5,17805,19008.5,922.5,210.5,1,9,2,2,SL
79677,2194,13,22004,0,10,0,15,0,0,14,799,5681,12167,16276,18222,17,13,0,5,3,3,SL
4893,5347,130,953092,0,19,0,15,0,0,131,2215,9398,14770.5,17369,18872.5,229.5,130,0,9,1,1,SL
855271,832846,7,15430.5,0,4.5,0.5,19.5,0,0,8,84.5,1218,2264,5495.5,8390,18.5,7,0,3,17,17,NOT
4666,6434,20.5,40597,0,13.5,0,14.5,0,0,21.5,1395,7507,12849.5,16711.5,18518.5,69.5,20.5,0,26,0,0,SL
2898,2194,10.5,5532,0,9,0,15.5,0,0,11.5,820,5619.5,11879.5,15952.5,18116,9.5,10.5,0,3,3,3,SL
855170,8795,13,51849,0,7.5,0,16.5,0,0,14,1221.5,5222.5,9284.5,14952.5,17587.5,15,13,0,26,0,0,NOT
210035,851860,2.5,12963.5,0,1.5,0.5,10.5,0,0,3.5,173.5,1184,1999,3873,7455.5,0.5,2.5,0,5,1,1,NOT
7150,2098,25.5,57527.5,0,11.5,0,15.5,0,0,26.5,1641.5,5384.5,11268.5,15816,17878,109,25.5,0,26,0,0,SL
1544,6259,11,122619,0,2.5,0.5,16.5,0,0,12,112,3036,9058,13620.5,16759,0,11,0,7,1,1,SL
2101,842985,8,29644,0,5.5,0,18,0,0,9,392,3439.5,6661.5,8711,9789.5,9,8,0,4,2,2,NOT
851019,181316,6.5,30560.5,0,4.5,0,17.5,0,0,7.5,659,1770,3188.5,7080.5,8968,3.5,6.5,0,8,4,6,NOT
843779,832124,3,185817,0,2,0,10,0,0,4,56,113.5,347.5,1071,4576,1,3,0,3,9,9,NOT
855950,51596,19.5,37859.5,0,5.5,0.5,16.5,0,0,20.5,234,1712,6409,13311,16749,19,19.5,0,5,5,5,NOT
51100,8850,61,367159.5,0,12.5,0,15,0,0,62,1426,6404.5,12713.5,16366.5,18470.5,264.5,61,0,7,15,18,SL
