gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
181227,112950,16,48627,0,14,0,17,0,0,17,179.5,2539,5681,7996.5,9200.5,194,16,0,11,1,1
6606,852468,29,94483,0,12,0,16,0,0,30,826,5680.5,11810.5,16142.5,17943.5,75,29,0,5,10,10
23283,80345,4,1302,0,4,0.5,16.5,0,0,5,573,3224.5,6183.5,11110,15181,4.5,4,0,6,5,5
2114,3565805,5.5,5517.5,0.5,5,0.5,7.5,0,0,6.5,513.5,3923.5,7187,8655,9377.5,5,5.5,0,3,17,17
33661,6195,13.5,29622,0,9,0,18,0,0,14.5,665.5,4184.5,7071.5,8908,9966.5,13,13.5,0,9,3,5
830015,841645,1.5,11831.5,0,1,0.5,14,0,0,2.5,5,7,18,77,246,0,1.5,0,6,1,1
827710,841786,3.5,11861.5,0,2.5,0,20.5,0,0,4.5,27,122,308.5,571.5,934.5,1.5,3.5,0,3,3,3
8867,180771,5.5,6520.5,0,5.5,0,17,0,0,6.5,233,2699.5,5883.5,8122.5,9499.5,3.5,5.5,0,5,4,4
8089,2538843,20.5,425597.5,0,9.5,0,18,0,0,21.5,619,4942.5,7675.5,8766.5,9537.5,87,20.5,0,5,5,5
57441,27436,6,51240.5,0,3.5,0,17,0,0,7,187,2780,5936.5,8591,13117.5,1,6,0,5,3,4
853371,25988,10.5,9033.5,0,5.5,0,16,0,0,11.5,140,2911,8478,15140,17481.5,10,10.5,0,5,1,1
22908,146705,7.5,3124.5,0,6.5,0,16.5,0,0,8.5,712,3767,8575,13599,16754.5,10,7.5,0,3,32,34
8905,171059,5.5,12664.5,0.5,3,0.5,8.5,0,0,6.5,44.5,1205.5,4970.5,7486.5,8742,7,5.5,0,4,5,5
2542023,852023,1.5,16867,0,1.5,0.5,18.5,0,0,2.5,10.5,54,800,2449,6800,0,1.5,0,10,1,1
854273,222696,11.5,20951,0,6.5,0,16.5,0,0,12.5,87,1777,6291.5,12090,16562,28.5,11.5,0,4,2,2
6183,401145,3.5,4306.5,0,3,0.5,16.5,0,0,4.5,65,1305.5,7799,12815,16671.5,3.5,3.5,0,4,15,16
1978,32557,4.5,19571,0,3.5,0.5,17.5,0,0,5.5,136,2603,5940.5,8401.5,10157,0.5,4.5,0,3,4,4
