gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion,gi
2736,856355,19.5,13433,0,12,0,15.5,0,0,20.5,423,4451,11297,15859.5,17988,101,19.5,0,4,4,6,NOT
4893,10067,74,114467.5,0,13,0,15,0,0,75,1486,7872.5,13233,16572.5,18333.5,117.5,74,1,11,1,1,SL
65988,172243,1,0,0.5,1,1,9,0,0,2,9.5,109,2260.5,5633.5,7926,0,1,0,9,2,2,NOT
23162,851225,7.5,18666,0,5.5,0,17,0,0,8.5,148.5,2765,7810,11251.5,15757,6,7.5,0,6,1,1,NOT
8833,5595,30,186034,0,11.5,0,15,0,0,31,1365.5,8606.5,14606,17399,18842,43,30,0,13,1,1,SL
56848,3639482,2,303.5,0,2,0.5,10,0,0,3,86.5,1775.5,5494.5,7870,8924.5,0,2,0,5,5,6,NOT
5252,8726,42,91063,0,20,0,15,0,0,43,1391.5,8140,14077,17169,18674.5,178.5,42,1,26,0,0,SL
116643,64783,11,59513.5,0,7.5,0,16.5,0,0,12,571,3723.5,6463,9405.5,14970,8,11,0,6,2,3,NOT
23062,3482,21.5,46845,0,13,0,15,0,0,22.5,1344.5,7321,13248.5,16682,18346.5,20.5,21.5,0,26,0,0,SL
5479,57794,13,20364,0,11,0,15,0,0,14,1226,7294,13023.5,16548.5,18243,31,13,0,6,5,5,SL
1025,2956,71.5,342035,0,19.5,0,14.5,0,0,72.5,2418,9555,14314,17386,18972.5,235,71.5,1,4,1,1,SL
832539,9164965,1.5,2,0.5,1.5,0.5,9.5,0,0,2.5,19.5,113,1289.5,2615.5,6344,0,1.5,0,4,1,1,NOT
1018,8883,10,3044,0,8.5,0,15.5,0,0,11,452,5985,12622.5,16439.5,18192,25,10,0,4,21,21,SL
3845,29978,233.5,1905121.5,0,19.5,0,15,0,0,234.5,2441,9961.5,14839.5,17328.5,18846,364.5,233.5,0,8,6,6,SL
57552,84057,1.5,12,0.5,1.5,0.5,8.5,0,0,2.5,390.5,2193,5326,7361.5,8765.5,0,1.5,0,2,16,16,SL
57787,856449,36.5,14329.5,0,12,0,16,0,0,37.5,435,4277.5,9003,15011.5,17627.5,310.5,36.5,0,5,2,2,NOT
171483,3265,67,379502,0,10,0,15.5,0,0,68,929,5819.5,12022,16157,18086,116.5,67,0,4,3,3,SL
55294,931,67,278633,0,11.5,0.5,16,0,0,68,1445.5,5117,7865,12188.5,15635,158,67,0,4,4,4,SL
5119,947867,5,2571,0,3,0,9,0,0,6,32,892.5,4771,7587.5,8659.5,3.5,5,0,7,2,2,NOT
854677,817340,10.5,45657,0,3.5,0.5,19,0,0,11.5,46,417.5,1766,3218.5,7364.5,19.5,10.5,0,10,3,3,NOT
836481,12443,5,709309,0,4,0,17,0,0,6,52,318,2815.5,7358,12668.5,2,5,0,5,1,1,NOT
673,3480,39.5,101221.5,0,19.5,0,15,0,0,40.5,2330,9530,14635.5,17327.5,18716,108.5,39.5,0,3,31,31,SL
5594,81788,57,1214911.5,0,11,0,15,0,0,58,1422.5,6867.5,13127,16688,18638,118,57,0,7,1,1,SL
4893,6230,100.5,113911,0,27.5,0,15,0,0,101.5,1215,8107.5,13865,16856.5,18401.5,703,100.5,0,17,1,1,SL
257218,27032,7,14038.5,0,6,0,15.5,0,0,8,1053,6343,12199,16249.5,18085.5,5.5,7,0,2,9,10,SL
801,6240,40,320262,0,12,0,15,0,0,41,1531,7338,13174,16687,18422,43.5,40,0,7,3,3,SL
11224,23404,40.5,8809,0,24,0,15,0,0,41.5,581.5,5877.5,12470,16347,18036.5,525.5,40.5,0,9,1,1,SL
587,6528,1.5,10,0,1.5,0.5,16,0,0,2.5,154,3958,10883.5,15473,17725,0,1.5,0,9,1,1,SL
10972,2194,14,23726,0,11,0,15,0,0,15,1338,7835.5,13614,17040.5,18583.5,12.5,14,0,7,2,2,SL
4294,5590,35.5,91060,0,13,0,15,0,0,36.5,1169.5,7383.5,13111.5,16507.5,18327,65.5,35.5,0,26,0,0,SL
6596,489,8,4826.5,0,6,0.5,15.5,0,0,9,612,5205.5,11304,15644,17903,7,8,0,26,0,0,SL
546,5529,20,25125.5,0,14,0,15.5,0,0,21,923,6672,13026.5,16586.5,18298.5,53.5,20,0,5,11,11,SL
4893,6156,103,121765.5,0,27.5,0,15,0,0,104,1186,8064.5,13768.5,16843,18413,707,103,0,8,1,1,SL
89885,672,142.5,1430643.5,0.5,11,0.5,7.5,0,0,143.5,2335.5,5676.5,8014,9032,9780.5,767,142.5,0,5,1,1,SL
9133,8883,8.5,22643,0,6.5,0,15.5,0,0,9.5,821.5,6507.5,11894.5,16072,18019.5,10.5,8.5,0,26,0,0,SL
