geneid1,geneid2
23043,7157
286128,7157
4976,7157
57552,7157
132112,7157
23200,7157
1585,7157
590,7157
90990,7157
27094,7157
83482,7157
1427,7157
5168,7157
4585,7157
2131,7157
57709,7157
83955,7157
7373,7157
3037,7157
9897,7157
4241,7157
286075,7157
79782,7157
285386,7157
93109,7157
8209,7157
23246,7157
8626,7157
5648,7157
26998,7157
59345,7157
26993,7157
7227,7157
116211,7157
9370,7157
50484,7157
9831,7157
26996,7157
10188,7157
8743,7157
54438,7157
6480,7157
11236,7157
1798,7157
151613,7157
1345,7157
51582,7157
84002,7157
54742,7157
6873,7157
10270,7157
6713,7157
254827,7157
51366,7157
79075,7157
8323,7157
5806,7157
3337,7157
51105,7157
5885,7157
114569,7157
10221,7157
131920,7157
7553,7157
116039,7157
23476,7157
165918,7157
11244,7157
54965,7157
50807,7157
4218,7157
51059,7157
7071,7157
9401,7157
114788,7157
5309,7157
340385,7157
6490,7157
10584,7157
83988,7157
203062,7157
200909,7157
114822,7157
80012,7157
114907,7157
2875,7157
57110,7157
22882,7157
284,7157
29894,7157
6674,7157
25897,7157
51555,7157
56169,7157
6503,7157
22898,7157
1807,7157
115908,7157
51091,7157
1137,7157
1584,7157
55074,7157
7730,7157
83696,7157
157680,7157
79977,7157
2814,7157
2907,7157
4609,7157
152137,7157
116447,7157
22871,7157
2765,7157
157638,7157
55752,10801
7165,80755
215,5825
868,25
3035,64746
7165,10096
7453,158
51002,3267
4026,3267
51100,3267
23404,57379
5573,11215
10458,501
5226,501
26227,501
10979,501
9601,501
51592,64682
10297,51529
79085,51529
9232,51529
26271,51529
27338,51529
29882,51529
5537,23243
58533,81611
7064,309
84171,10053
6338,10053
29924,10053
273,160
29924,160
1601,160
8881,79085
8881,10297
8881,29882
10393,79085
10393,10297
10393,29882
58533,327
5074,327
10938,8539
158,8539
11328,8539
10101,8539
5604,369
3831,372
5290,9138
9459,8874
7165,10552
5528,10095
813,10094
10092,10094
51002,10092
8027,407
8353,55723
3020,55723
80335,9070
1874,9070
728505,9070
23133,9070
3054,9070
9757,9070
84661,9070
4297,9070
8085,9070
10952,439
11344,440
64422,445
5184,445
4800,22926
64422,9140
11345,64422
10533,64422
55626,23192
64422,23192
9140,23192
11345,23192
64422,9474
9140,9474
58533,10533
8078,523
5861,523
136319,523
197131,523
7347,9296
9559,9296
10101,9296
7320,9296
7335,9296
10403,9212
55644,573
6455,573
598,578
8520,6045
8520,9223
8520,8314
57646,6045
57646,9223
57646,8314
578,581
842,581
6603,9031
841,10134
10188,9564
637,598
10138,54880
112939,54880
23429,54880
79705,613
3635,613
6654,613
5289,8678
835,637
842,329
8737,329
64127,329
330,332
331,332
4091,657
369,673
5604,673
221477,673
5605,673
8315,673
9577,675
7979,675
2189,675
55789,675
571,675
79184,675
83990,675
9282,23476
10614,23476
9150,23476
5983,23476
4299,23476
6602,29117
2072,84464
2067,84464
4437,84464
81567,9689
8942,10944
55577,10944
273,23523
7290,23523
11344,824
11344,830
10892,84433
327,833
5074,833
6470,833
836,843
355,843
637,843
8737,843
2194,843
9191,843
9020,843
835,843
637,836
5184,840
841,840
843,840
835,840
842,841
637,841
8737,841
835,841
317,842
332,842
843,842
330,842
861,865
7187,868
6464,868
3815,868
4233,23624
8731,23624
3020,10951
29950,894
10614,904
4297,904
4299,904
9564,23607
868,23607
79874,23607
7046,960
857,960
6774,960
10458,995
891,995
4140,995
9616,997
5001,8317
29883,8317
332,55143
8417,55573
9020,8837
355,8837
9191,8837
8737,8837
7185,8837
2194,8837
8353,8208
10951,9557
10320,1107
159,29082
159,128866
57132,51510
159,54108
162,9685
163,9685
5883,63967
57646,63967
26958,11316
372,11316
22818,26958
23032,9738
9330,29894
81608,29894
26173,54973
868,1399
2065,1399
9564,1399
2057,1399
1855,1453
8215,1453
51608,1478
7453,56474
5184,5476
445,5476
9021,7852
8737,1540
5763,1633
128866,1633
7064,1633
6888,1633
29082,1633
5358,1633
159,1633
23644,167227
550,1650
6400,79139
915,79139
10134,79139
11160,79139
51465,79139
5536,1676
10979,1676
57819,8449
10523,1659
332,56616
22818,1729
5162,1737
3015,55929
8089,55929
56916,55929
5883,7266
10802,10059
50626,10059
64786,10059
327,10059
51024,10059
9559,10059
84262,10059
29763,1785
273,1785
10951,1788
123169,1788
79813,1788
10919,1788
23168,1788
5437,1788
5971,5977
445,10072
5184,10072
4234,1810
11130,79980
23265,667
55763,667
10101,11034
8312,8215
8312,1855
8215,1857
1855,1857
330,9666
152006,9666
84108,1876
7027,1876
5910,1892
5511,8726
5252,8726
3417,79180
10539,79180
29924,30846
9329,30844
445,1977
3035,60528
2237,60528
6776,2057
2072,2067
2965,2068
4331,2071
2319,11160
1155,23071
9901,55763
9901,23265
23380,55763
23380,23265
23265,60412
55763,60412
60412,149371
51013,118460
5962,7430
3665,8772
637,8772
355,8772
8737,8772
8797,8772
8837,8772
11035,8772
1612,8772
2194,8772
58533,64855
26127,85369
57697,2176
55120,2176
55120,2177
637,2194
637,355
7124,2194
7124,355
8737,2194
8737,355
8717,2194
8717,355
857,2194
857,355
8697,26271
8881,26271
29945,26271
51433,26271
23071,10979
1453,2273
1453,3075
1453,27259
55339,81608
10101,11328
2319,10211
1054,8061
4591,9513
8900,51343
6602,2623
10320,2623
1052,2623
57504,57459
4846,2639
342977,2639
5184,9615
5184,8034
5861,2665
8766,2665
9230,2665
339122,2665
5536,64785
84296,64785
1892,64785
2801,64689
2957,26003
64746,26003
6904,26003
3417,51026
3417,127845
3417,2805
3663,2873
79718,2874
7067,2874
2768,2931
6643,2935
23708,2935
5962,2935
23049,2935
2107,2935
5184,2936
8942,2936
4597,2936
1892,5621
1892,2937
440,5621
440,2937
5049,5621
5049,2937
5536,5621
5536,2937
64785,5621
64785,2937
8648,2959
5434,2959
5437,2959
6917,2959
9611,2959
468,2959
6455,2960
2961,2963
5437,2963
5436,2963
196,2963
5434,2963
55588,2963
7508,2965
9329,2976
10623,2976
9328,2976
9329,9330
10623,9330
9328,9330
9328,9329
7453,9329
8089,3015
58533,3020
5201,3035
6470,3035
4140,51564
4140,9734
2011,51564
2011,9734
9738,8924
55120,3280
55120,8209
2176,3280
2176,8209
4299,10614
8027,9146
5252,3090
8726,3090
11344,3739
11344,255061
11344,3098
11344,51361
9329,3739
9329,255061
9329,3098
9329,51361
824,3739
824,255061
824,3098
824,51361
8315,3265
221477,3265
327,22824
30001,23640
8473,23640
159,3336
3417,3336
9948,3336
330,27429
9564,10525
6934,3397
6925,3397
6934,3399
6925,3399
10539,3417
159,3417
9361,24138
23062,3482
54472,3554
2065,3572
332,3619
8089,54556
7994,84289
79705,3635
2057,3635
116985,3635
11160,3638
6777,3643
55726,26173
5436,65123
23613,65123
5433,65123
7979,26512
5436,26512
7979,55756
26173,55756
10226,51194
10611,51194
1810,51194
813,51194
4026,51194
4234,51194
7165,51194
51002,51194
2057,8660
3643,8660
7454,3702
273,6453
29763,6453
273,50618
26524,84962
6258,84962
8061,3726
8061,10535
1052,3726
1052,10535
468,3726
468,10535
1054,3726
1054,10535
9757,7403
8085,7403
57504,23199
23607,23325
55763,284058
23265,284058
51100,26128
55644,26128
29127,9493
11127,22920
10458,3831
1729,3831
22818,3831
89953,147700
89953,64837
10458,89953
3831,89953
23633,3839
5184,8942
56647,8942
55644,8270
3267,51056
3267,7852
26524,9113
9564,3932
1052,51176
6917,123169
904,123169
4659,64175
10785,64175
55644,64175
3267,64175
30001,64175
5530,64175
11284,3980
11284,121227
11328,8994
27258,25804
23658,11157
27258,11157
29945,4085
8881,4085
571,4097
467,4097
83990,4097
83990,7975
571,7975
8315,5604
3265,5604
8649,5604
221477,5604
5605,5604
4296,6416
6416,5608
4216,5609
6416,5609
5601,5609
4296,5609
10746,5609
7188,9020
7185,9020
9402,11184
6416,5602
6446,5598
637,5599
6416,5601
4215,2011
57787,2011
29761,2011
27005,2011
10458,2011
2011,4140
27005,57787
29761,57787
9361,22983
9361,23332
10533,27430
112869,51562
1810,51562
10018,4170
637,4170
578,4170
581,4170
5000,55388
23595,55388
8318,55388
8317,55388
55388,4176
55388,4171
4798,10445
7015,10445
51147,64769
6497,4204
10951,4204
23054,51586
9325,51586
9444,51586
7067,10025
79991,10025
79991,9440
9443,6837
9325,9439
79991,9439
79991,9442
5433,80306
55588,80306
9968,80306
51586,80306
84246,80306
892,80306
9325,80306
55090,80306
5436,80306
5439,80306
9443,80306
81857,80306
9325,29079
79991,10001
7165,4234
84108,8972
84108,23269
11130,79003
85363,7681
4331,7681
9616,7681
7325,7681
4299,4297
23054,9757
23054,8085
85363,4331
9112,4331
2965,4331
26524,55233
29127,23164
64975,124995
11222,124995
65005,9801
65005,51253
65005,51069
64928,51253
64928,51069
79590,51253
79590,51069
51069,6150
51253,6150
65005,11222
28977,51253
64975,51253
84311,51253
51069,51253
84311,64978
65080,64978
65003,64978
65008,51073
79590,51073
11222,51073
51253,64976
51069,64976
79590,64976
23256,64976
28957,64975
60488,64975
65080,64975
11222,28977
65080,28977
28957,28977
60488,28977
28998,65080
79590,84311
65080,54534
65080,65005
64965,51021
28973,60488
28973,28957
64969,60488
64969,28957
23186,57504
10363,57504
5861,136319
7187,4615
826,4643
1155,4643
8887,4646
861,7994
64769,7994
8942,55577
26973,55577
92483,55577
56647,55577
6810,9476
6810,8775
4905,9476
4905,8775
8673,9476
8673,8775
83452,9918
10592,9918
10592,64151
83452,64151
6778,8648
11130,10403
79003,10403
284058,10403
25936,10403
57082,10403
7419,4701
9877,4701
28957,4701
8417,4701
9997,4701
10084,4701
60488,4701
6238,4701
10187,4701
4726,4720
4729,4720
4720,4722
4729,4722
4729,4728
4722,4723
4729,4723
4720,4723
23032,84461
9020,4791
4800,4801
6900,4801
7187,4804
4591,4804
7188,4804
6119,60491
55644,60491
4831,4830
4831,6023
9948,4830
9948,6023
3417,4830
3417,6023
5358,4830
5358,6023
23644,4836
8737,64127
81858,64127
9564,4867
158,55666
4234,55666
10499,8856
5530,4898
8417,4905
23256,4905
158,22978
4613,4914
9559,10726
7360,10726
10914,10726
10101,134492
9969,79991
10101,55239
11344,55239
5910,29789
7187,10133
8737,10133
7124,10133
8318,23595
5001,5000
23595,5001
8318,5001
8318,23594
23075,5007
1759,11252
7360,11252
7456,11252
8883,5049
5910,5049
5536,5049
23075,10606
10458,5062
10458,5586
23071,5062
23071,5586
10458,10298
50855,56288
57787,50855
5590,50855
2011,50855
79657,50855
50855,84612
5584,84612
815,5071
58533,5074
55636,55193
54880,10336
648,10336
11328,11235
3739,11235
255061,11235
5519,11235
23071,11235
3098,11235
51361,11235
10451,5159
10188,5159
6643,5159
11344,9601
30001,9601
824,9601
55666,10611
5588,5170
5825,53918
5825,5824
5910,5198
23071,5198
28969,5198
11235,5198
1892,5198
1676,5198
5203,5202
7165,5202
10101,5202
5201,5202
5202,5204
7703,1912
8353,5252
51147,79960
91833,23239
1762,23239
57599,23239
9894,55011
8660,5290
3667,5290
3265,5290
5289,30849
57646,64219
3667,5336
57037,10226
56474,10226
10101,10226
8125,10226
158,10226
55666,10226
11073,5395
4437,5395
5861,5539
5861,4860
64425,25885
79101,25885
51082,25885
84172,25885
5437,25885
51082,84172
54700,84172
171568,51082
9400,5433
90390,5435
26173,5437
55090,5439
661,10623
10621,10623
9329,10623
9328,10623
5437,661
5074,5496
5204,4659
1453,94274
23154,5504
5910,5504
8883,5504
5202,5516
26173,5519
29966,5524
29888,5527
11200,5527
23075,5527
5525,5527
4026,5528
7165,5528
5519,5528
8500,5528
5516,5528
51100,5528
6238,10084
58477,10084
3476,25824
10101,25824
50855,5584
3996,5584
84433,5588
10892,5588
10101,5721
3956,8624
8624,84262
159,5763
54108,5763
9948,5763
3417,5763
5358,5763
9564,5782
8500,5802
10393,9232
51343,9232
64682,9232
9564,5829
9564,7837
9969,9444
9282,9444
5861,8766
4218,9230
4218,339122
81876,9230
81876,339122
8766,9230
8766,339122
5861,9230
5861,339122
8766,7879
23637,7879
5861,7879
5867,79874
4437,2072
4437,5810
4437,6236
5983,5884
5883,5884
4437,5883
4928,8480
5528,5905
8883,5910
5536,5910
9113,11186
11186,283349
11186,83593
55201,283349
55201,83593
64127,10616
7124,10616
7706,10616
55072,10616
29761,10616
81858,10616
8737,10616
7185,10616
27005,10616
54472,23543
5479,5937
6238,5937
58477,5937
10084,5937
6643,5962
81611,5962
23708,5962
5436,9400
602,5971
150684,5971
9425,5978
23186,5978
5983,6573
5983,5981
5906,6009
5906,6008
64223,253260
26092,55183
26092,11172
26092,55791
3265,9610
7187,8737
7185,8737
55072,8767
10392,8767
9618,8767
8837,8767
8737,8767
8737,11035
6477,51132
152006,55905
148022,54476
64127,55072
7124,55072
330,55072
7185,55072
51479,6093
80755,6119
57037,55197
55666,55197
10226,55197
55644,58490
6777,58490
9520,6197
55626,57521
9894,80230
6886,861
23013,862
