V4,V2
805,Q96HY3
810,CALL3
811,V9HW88
811,CALR
814,KCC4
815,A8K161
815,Q8IWE0
815,KCC2A
815,Q7LDD5
816,KCC2B
816,B7Z1Z6
816,A4D2J9
817,E9PF82
817,KCC2D
817,E9PBG7
817,D6R938
818,Q13280
818,A0A2Q3DQE3
818,KCC2G
818,B3KY86
818,Q5SWX3
819,CAMLG
820,J3KNB4
820,CAMP
820,A0A384NPR0
821,CALX
823,CAN1
823,B2RDI5
823,B4DWH5
824,Q59EF6
824,CAN2
824,B4DN77
825,CAN3
825,A0A0S2Z3E1
829,CAZA1
830,A4D0V4
830,CAZA2
832,B4DWA6
832,B1AK85
832,CAPZB
832,Q7L4N0
832,A0A384MR50
832,B1AK88
833,B4DPV7
833,SYCC
833,A0A024RCG3
834,A8K249
834,A8K257
834,CASP1
835,D3DXD9
835,A0A0S2Z3H1
835,A0A087WYM1
835,CASP2
836,CASP3
839,CASP6
840,CASP7
840,B4DWA2
840,A0A0A0MRL7
841,A0A024R3Z8
841,CASP8
842,F8VVS7
842,CASP9
843,A0A0S2Z3G5
843,A0A0S2Z3Z5
843,CASPA
845,CASQ2
846,CASR
847,A0A384P5Q0
847,CATA
857,CAV1
857,Q59E85
857,A0A024R757
857,Q7Z4F3
857,Q2TNI1
857,A9XTE5
858,CAV2
858,Q53X57
859,CAV3
860,RUNX2
860,A0A0D9SEN7
860,Q32MY8
861,RUNX1
862,MTG8
862,A0A087WWT6
862,A0A0A0MSU1
862,W8FW32
862,B2R6I9
863,MTG16
864,RUNX3
864,A0A024RAH4
865,A0A024R6X2
865,PEBB
867,CBL
868,CBLB
868,B4DYP3
868,B7ZAG1
868,B3KSS7
875,B7Z2D6
875,Q9NTF0
883,KAT1
883,A8K563
883,B7Z4W5
885,CCKN
885,Q6FG82
887,GASR
887,E9PIC8
889,KRIT1
889,A4D1F7
890,CCNA2
891,CCNB1
892,CCNC
892,Q7Z4L3
894,CCND2
896,D6RI00
896,Q5T8J1
896,B3KP19
896,CCND3
898,A0A0G3DHS8
898,CCNE1
898,V5W5X2
899,Q59HD0
899,CCNF
900,CCNG1
901,A0A024RDC7
901,CCNG2
902,CCNH
904,A8K4M5
904,CCNT1
