gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
701,596,47,239594,0,16.5,0,15,0,0,48,1611,8809.5,14093,17182.5,18612,98.5,47,0,2,18,18
23466,1024,39.5,75871,0,21,0,15,0,0,40.5,683.5,6530.5,12538,16701,18445.5,305.5,39.5,0,4,1,1
57332,9133,19,25594,0,12,0,15,0,0,20,1102,7204,12324.5,16481.5,18259,69,19,0,3,7,7
30835,2048,7,11361.5,0,5,0,16,0,0,8,251.5,4337,11104,15529.5,17765.5,1.5,7,0,4,3,3
30835,23673,13.5,13763,0,9,0,15.5,0,0,14.5,747.5,4917,11233,15541,17859,32.5,13.5,0,3,7,7
30835,713,3.5,1620,0,3,0.5,16,0,0,4.5,149.5,2342.5,9656.5,14780,17410,0.5,3.5,0,4,5,5
30835,1441,6,2418.5,0,5,0,16,0,0,7,263.5,3578,10693,15125,17621.5,1,6,0,4,7,7
30835,9341,13.5,8200.5,0,9,0,16,0,0,14.5,824.5,4834,11209,15491,17815.5,31.5,13.5,0,3,7,7
30835,25932,3.5,1620,0,3,0.5,16.5,0,0,4.5,138.5,1894,7818.5,13146.5,16289,0.5,3.5,0,3,7,7
30835,3399,6,1975,0,5.5,0,15.5,0,0,7,225,3582.5,10936.5,15597,17857.5,1.5,6,0,4,7,7
30835,712,4.5,1838,0,4,0,16,0,0,5.5,282.5,4141,10877.5,15375,17728,0.5,4.5,0,3,7,7
1019,84444,27.5,74083,0,15,0,15,0,0,28.5,1145,7656,13390.5,16862.5,18537.5,54,27.5,0,3,6,6
1019,3932,41,135449,0,17.5,0,15,0,0,42,1591,8974,14538.5,17298,18768,67.5,41,0,3,17,17
1021,2064,56.5,206701,0,16,0,15,0,0,57.5,1772.5,8553,13528,17006,18636,202.5,56.5,0,4,3,3
1021,84444,17,11332,0,12,0,15,0,0,18,713.5,6779,12273.5,16492.5,18275.5,32,17,0,4,3,3
1022,5979,27,93339.5,0,15.5,0,15,0,0,28,1313,8492.5,14312.5,17246,18782,73,27,0,2,17,17
1022,3065,166.5,1832993,0,19,0,14.5,0,0,167.5,2777,9890,15302.5,17747,19275,1089.5,166.5,0,2,3,3
1022,3932,35.5,90920.5,0,16.5,0,15,0,0,36.5,1462,8749.5,14498,17285,18721,69.5,35.5,0,2,20,20
1022,3066,102,290325.5,0,19,0,14.5,0,0,103,2395,9558.5,15115,17573.5,19033.5,634.5,102,0,2,3,3
1022,2322,18.5,27577.5,0,11.5,0,15.5,0,0,19.5,930.5,6299.5,12952.5,16595.5,18255.5,50.5,18.5,0,2,20,20
79019,675,29,73313,0,12.5,0,15.5,0,0,30,819.5,5044.5,11290,14907.5,17643,60,29,0,2,5,5
79019,5983,11,9415,0,8.5,0,15.5,0,0,12,527.5,4169,9974,14433,17381.5,33.5,11,0,4,5,5
10523,9133,10.5,23393.5,0,8,0,15,0,0,11.5,885,6232,11604.5,15839.5,17971.5,10.5,10.5,0,3,28,28
10523,113130,12.5,6687.5,0,9.5,0,15,0,0,13.5,536.5,5882.5,11693,16002,18084.5,22,12.5,0,2,57,58
8192,90326,25.5,166877,0,8.5,0,16,0,0,26.5,380.5,4295,11551,15592,17775.5,42,25.5,0,3,3,3
8192,29101,27,166975.5,0,10,0,15.5,0,0,28,440,5334,12351.5,16062.5,17961,43,27,0,4,3,3
8192,142678,27.5,169771.5,0,10.5,0,16,0,0,28.5,427,5328,12585.5,16353.5,18202.5,42,27.5,0,4,3,3
1264,4677,1.5,21.5,0,1.5,0.5,16.5,0,0,2.5,58.5,2345.5,9341,14826,17376,0,1.5,0,4,1,1
200186,6714,67.5,481467.5,0,12,0,15.5,0,0,68.5,2238,7769.5,13138.5,16523.5,18272,263,67.5,0,2,19,19
1613,9636,35,110680,0,12,0,15,0,0,36,1484.5,7459,13241,16689,18346,38,35,0,5,1,1
1613,84967,4,11692.5,0,3.5,0,15.5,0,0,5,212.5,3406.5,10368,15384.5,17613,1,4,0,3,1,1
1613,5195,11,32553,0,6.5,0,15.5,0,0,12,344.5,5472,11521,15723,17884.5,6.5,11,0,5,1,1
1613,142678,5.5,14550.5,0,5,0,15.5,0,0,6.5,272.5,4724,11482,15952,18118.5,1,5.5,0,4,1,1
