gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
85364,23210,21.5,37049,0,12,0,15.5,0,0,22.5,777,6305,11697,16114.5,18071,19.5,21.5,0,4,16,16
64013,5514,4,121,0,4,0.5,17,0,0,5,170,2184,5560.5,8166.5,11876,5,4,0,26,0,0
836012,122011,1.5,17.5,0,1.5,0.5,18.5,0,0,2.5,21,846,4696,7648,9197.5,0,1.5,0,3,2,2
348995,823832,6.5,461.5,0,4.5,0.5,19.5,0,0,7.5,41,1508.5,5110,7780.5,8975.5,22,6.5,0,3,5,5
8682,18753,4.5,1785,0.5,4.5,0.5,8,0,0,5.5,210.5,2952,6447.5,8310.5,9181.5,2,4.5,0,3,2,2
837113,26073,9.5,319826,0,7,0,16.5,0,0,10.5,520,3472.5,6225,8950.5,13239.5,6.5,9.5,0,5,2,3
64337,179946,1,0,0.5,1,1,9.5,0,0,2,3,9.5,340,3415.5,6008,0,1,0,10,3,4
852173,838088,2.5,3068.5,0,2,0,17.5,0,0,3.5,58,571.5,3924.5,7633,9502,1,2.5,0,3,5,5
831810,827713,1.5,11831.5,0,1,0.5,20.5,0,0,2.5,5,13,37.5,841,4460.5,0,1.5,0,8,1,1
2957,823804,3.5,35499,0,2.5,0,19,0,0,4.5,48,852.5,4526.5,7501,9085,2,3.5,0,5,1,1
48481,202299,4,6.5,0,3.5,0,18,0,0,5,45.5,1882,5338,7733.5,9239,7,4,0,6,3,4
4352660,855422,2.5,12410,0,1.5,0,9,0,0,3.5,267.5,1316.5,2701.5,6555,8397.5,0,2.5,0,4,2,2
855828,184984,14,22629.5,0,7.5,0.5,18,0,0,15,197.5,1434,3477,7285.5,8838.5,19,14,0,4,3,4
42186,54541,9.5,420085.5,0,4,0,17,0,0,10.5,270.5,3318,6613,10064.5,14675.5,5,9.5,0,4,1,1
2543607,44879,2,23662,0.5,1.5,0.5,10,0,0,3,20.5,84.5,224.5,480,888.5,0.5,2,0,7,5,6
855477,67826,6,343,0,4.5,0.5,17,0,0,7,72.5,1338.5,5628,11998.5,16224,11,6,0,5,4,4
851813,64785,16.5,52022,0,7.5,0,16,0,0,17.5,744.5,2600.5,8044.5,13784.5,17203,22,16.5,0,4,16,18
11124,818629,26.5,89628,0,10.5,0.5,8.5,0,0,27.5,1037,4782.5,7308.5,8732.5,9478,55.5,26.5,0,5,1,1
1994,51283,51,237305.5,0,13,0,15.5,0,0,52,1840,6957.5,12877.5,16658.5,18478.5,137.5,51,0,5,9,9
852492,852964,23.5,13264,0,13.5,0,17,0,0,24.5,804,2968,5259,11941.5,16492.5,159.5,23.5,0,2,17,17
172554,7884,6,2740.5,0.5,4.5,0.5,8,0,0,7,221,2606.5,5892.5,8184,9088.5,3,6,0,16,1,1
6550,100008935,2,1050.5,0.5,1.5,0.5,8.5,0,0,3,30,1536,4984.5,7231,8700.5,0,2,0,8,5,6
51013,172278,12.5,9779,0,8.5,0,17.5,0,0,13.5,124.5,1902.5,5405,7754.5,9115.5,56.5,12.5,0,3,32,34
818540,71648,2,1028.5,0,2,0.5,10,0,0,3,15,71,619.5,3982.5,6617.5,0,2,0,5,2,2
147700,19885,4.5,1461.5,0,4,0.5,16.5,0,0,5.5,154,2636.5,6843,10997.5,15304.5,7.5,4.5,0,5,3,3
73914,176481,1,0,0.5,1,1,2,0,0,2,2.5,3,3,3,3,0,1,0,7,4,5
26415,220441,3.5,12842.5,0,3,0.5,16.5,0,0,4.5,114.5,1861,7674.5,13481.5,16736.5,1,3.5,0,4,15,15
