gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
1969,142,82,323103,0,19.5,0,14.5,0,0,83,2884.5,9697.5,14711.5,17405,18944.5,322.5,82,0,3,10,10
1969,5058,29.5,106233,0,16,0,15,0,0,30.5,1974,8894,14337.5,17199,18657,38,29.5,0,2,10,10
1969,84444,19.5,32943,0,14.5,0,15,0,0,20.5,1397.5,7370.5,12923,16622,18354.5,24.5,19.5,0,3,10,10
2060,7186,84,567133,0,17.5,0,15,0,0,85,1888,9362.5,14384,17207,18702,236,84,0,3,10,10
2064,22983,47.5,197753,0,11,0,15.5,0,0,48.5,1440,7585,13066,16612,18505.5,178,47.5,0,3,27,27
9156,112483,10,10447.5,0,9,0,15,0,0,11,578,5740,11616.5,16101,18114.5,16.5,10,0,3,12,12
2146,660,62.5,334491,0,13.5,0,15,0,0,63.5,1695.5,7807,14264,17241.5,18909.5,321.5,62.5,0,2,17,17
2260,1786,50.5,212244,0,19,0,15,0,0,51.5,1830,9182,14678,17478.5,19014,174,50.5,0,4,3,3
2305,157310,10.5,3919.5,0,8,0,15.5,0,0,11.5,489,5334.5,13247,16628,18194,14.5,10.5,0,3,3,3
2305,5730,13,19804.5,0,8.5,0,15.5,0,0,14,622.5,6519,13644.5,16914,18410.5,14.5,13,0,4,3,3
2308,79902,19.5,69746,0,13,0,15,0,0,20.5,920.5,6253.5,12286,16449,18302.5,55,19.5,0,2,33,33
2534,22983,35.5,260699,0,10.5,0,15.5,0,0,36.5,927.5,7508.5,13398.5,16725,18552,68,35.5,0,3,11,11
3065,6795,152.5,1806018,0,12,0,15,0,0,153.5,2146,8103.5,14444,17286.5,18985,1041.5,152.5,0,3,1,1
51564,51075,17.5,57106.5,0,11.5,0,15.5,0,0,18.5,1492,7597,12513,16431,18383.5,35.5,17.5,0,3,4,4
3717,1814,20.5,63689.5,0,11,0,15.5,0,0,21.5,612.5,5763,12138.5,16042.5,18074.5,51.5,20.5,0,3,2,2
3717,5163,33.5,75206,0,16.5,0,15,0,0,34.5,969.5,7529.5,13000,16588.5,18436.5,98.5,33.5,0,3,20,20
3717,10919,43,2889948.5,0,18.5,0,15,0,0,44,1399.5,8350,14030,17213.5,18840,115,43,0,3,27,27
3717,84444,24.5,53919,0,14.5,0,15,0,0,25.5,783.5,7183.5,12989.5,16640,18412.5,58,24.5,0,3,27,27
3717,1786,45.5,138858,0,19.5,0,15,0,0,46.5,1771.5,8989.5,14597.5,17310.5,18882.5,200,45.5,0,4,3,3
93107,2064,47,197729.5,0,10.5,0,16,0,0,48,1280.5,4928,8757.5,13888.5,17112.5,177.5,47,0,3,15,15
3764,10919,25.5,2838370,0,10,0.5,15.5,0,0,26.5,992,5702.5,12177.5,16200.5,18278,64,25.5,0,2,3,3
3764,23774,12,34510,0,6.5,0.5,15.5,0,0,13,774,5646.5,12472,16138.5,18034.5,17.5,12,0,3,3,3
3764,23476,188.5,3286571.5,0,14,0.5,15,0,0,189.5,2413,7049,13136.5,16504,18627.5,1060.5,188.5,0,4,3,3
3764,84444,7,2340.5,0,6,0.5,15.5,0,0,8,376,4536,11137,15627,17850.5,7,7,0,3,3,3
3764,22983,2,43.5,0,2,0.5,16,0,0,3,324,4343,11001.5,15459.5,17803.5,0.5,2,0,3,3,3
7403,1786,35.5,94902.5,0,16.5,0,15,0,0,36.5,1445.5,7421.5,13368.5,16938,18664.5,174,35.5,0,3,3,3
23135,1786,29,99156,0,11.5,0,15.5,0,0,30,1292,7174.5,13027.5,16460.5,18451,149,29,0,3,3,3
3832,3716,15.5,23793.5,0,10,0,15.5,0,0,16.5,690,6363,12594.5,16367.5,18171,16,15.5,0,3,3,3
24137,140462,9,29166,0,7.5,0,15.5,0,0,10,558,5625,11753,16070.5,18063.5,5.5,9,0,2,95,96
3815,3984,20.5,65281,0,12,0,15,0,0,21.5,524,6311.5,11801,15992.5,18172,33,20.5,0,3,3,3
3815,1786,42,139104.5,0,18.5,0,15,0,0,43,1561.5,8303,13615.5,16854,18659,179,42,0,4,3,3
