V1,V2
CMAS,MTOR
CMAS,NUDC
CMAS,VPS29
CMAS,VPS72
CMAS,WDR7
CMAS,ZNHIT6
CNOT1,CTNNBL1
CNOT1,LEO1
CNOT1,PDRG1
CNOT1,PSPH
COA3,FAM208A
COA3,MBTPS2
COA3,TAZ
COG3,LEO1
COG3,NOL8
COG3,NUDC
COG3,PPP2R1A
COG3,RTF1
COG3,SCYL1
COG3,SEC22B
COG3,SLC35A1
COG3,WDR7
COPE,DUT
COPE,FH
COPE,METAP2
COPE,MRPL22
COPE,RPL23
COPE,SCYL1
COPE,SLC35A1
COPE,UBA2
COPE,VPS4A
COPE,WDR7
COPS2,NDUFA8
COPS2,SKA3
COPS2,XRN2
COPS2,YTHDC1
COPS4,CSTF3
COPS4,CTNNBL1
COPS4,DUT
COPS4,EIF3H
COPS4,HUS1
COPS4,INTS5
COPS4,KCTD10
COPS4,LEO1
COPS4,NUDC
COPS4,POLD1
COPS4,SGOL1
COPS4,SKA3
COPS4,SMC5
COPS4,SRSF7
COPS4,WDR61
COPS4,XRN2
COPS5,HUS1
COPS5,KCTD10
COPS5,PELO
COPS5,PPP2R1A
COPS5,SKA3
COPS5,XRN2
COQ2,MINOS1
COQ2,NUTF2
COQ2,PGK1
COX16,MAPKAP1
COX16,MED23
COX16,PGK1
COX16,PSMB6
COX16,TTI2
COX5A,MED23
COX5A,MTBP
COX5A,RPL35
COX6C,DCTN2
COX6C,HUS1
COX6C,MAPKAP1
COX6C,MED14
COX6C,MED23
COX6C,MTBP
COX6C,PGK1
COX6C,PTTG1
COX6C,TIMM23B
COX6C,TTI2
COX7C,PGK1
CSTF3,GNL3L
CSTF3,METAP2
CSTF3,NDUFB1
CTNNBL1,DHODH
CTNNBL1,GEMIN4
CTNNBL1,INTS5
CTNNBL1,KCTD10
CTNNBL1,MED23
CTNNBL1,MRPS14
CTNNBL1,MRPS18A
CTNNBL1,PELO
CTNNBL1,PMF1
CTNNBL1,POLR3B
CTNNBL1,PPP2R1A
CTNNBL1,RBM17
CTNNBL1,SDHC
CTNNBL1,SNAPC1
CTNNBL1,SNRPB
CTNNBL1,TRNAU1AP
CTNNBL1,UBA2
CWC22,FAM50A
CWC22,MINOS1
CWC22,USE1
CYB5B,EMC2
CYB5B,INTS5
CYB5B,MBTPS2
CYB5B,MCM3AP
CYB5B,RPL24
CYB5B,ZCCHC9
DARS,GTF3C3
DARS,LEO1
DARS,MBTPS2
DARS,PELO
DARS,TCOF1
DARS,UBA2
DCAF7,LEO1
DCAF7,MRPS5
DCAF7,PPP2R1A
DCAF7,SSB
DCAF7,TIMELESS
DCAF7,TMEM261
DCAF7,ZNF574
DCTN2,EIF3H
DCTN2,GFI1B
DCTN2,PPP2R1A
DCTN2,RPLP1
DCTN2,RTF1
DCTN2,SGOL1
DCTN2,SKA3
DCTN2,ZNF574
DCTN4,LEO1
DCTN4,RPL11
DCTN4,RPL36A
DCTN4,SKA3
DCTN4,TRA2B
DCTN4,WDR61
DDX18,NDUFA9
DDX18,TCOF1
DDX46,FAM208A
DDX46,LEO1
DHODH,GINS4
DHODH,HUS1
DHODH,TAF2
DHODH,TIPIN
DHX37,EXOSC2
DHX37,XRN2
DHX37,ZCCHC9
DICER1,MED1
DLST,PGD
DONSON,GNL3L
DONSON,PELO
DONSON,RPL24
DONSON,TRA2B
DONSON,VPS72
DUT,NAMPT
DUT,POLR3B
DUT,TGIF2
DYNC1H1,INTS5
DYNC1H1,PPP2R1A
EEF1G,GTF3C3
EFR3A,LEO1
EFR3A,PPP2R1A
EFR3A,VPS72
EIF2B5,MRPS5
EIF2B5,USMG5
EIF3C,EIF3H
EIF3C,GPN3
EIF3C,LEO1
EIF3C,MED22
EIF3C,MTBP
EIF3C,PSMD1
EIF3C,SSB
EIF3C,XPO1
EIF3D,EXOSC9
EIF3D,MRPS5
EIF3D,PSMD4
EIF3D,RPL23
EIF3H,EIF4A1
EIF3H,EIF4G1
EIF3H,EIF4G2
EIF3H,EXOSC2
EIF3H,FDPS
EIF3H,GTF2E1
EIF3H,LUC7L3
EIF3H,MED22
EIF3H,MINOS1
EIF3H,MRPS18B
EIF3H,NDUFA9
EIF3H,NUTF2
EIF3H,PMF1
EIF3H,PPCS
EIF3H,PSMD12
EIF3H,PTTG1
EIF3H,SKA3
EIF3H,SNRPD3
EIF3H,TAF1
EIF3H,TAF2
EIF3H,TRA2B
EIF3M,VPS72
EIF4G1,EXOSC2
EIF4G1,MFAP1
EIF4G1,MRPL22
EIF4G1,MRPL32
EIF4G1,PTTG1
EIF4G1,RPL35
EIF4G1,XRN2
EIF5B,ZNF574
EIF6,GNL3L
EIF6,HUS1
EIF6,LTN1
EIF6,PSMD1
EIF6,WDR61
EIF6,XRN2
ELP4,FAM98B
ELP4,FIP1L1
ELP4,MINOS1-NBL1
ELP4,POLN
EMC1,FDPS
EMC1,GTF2H4
EMC1,MBTPS2
EMC1,MED1
EMC1,MED23
EMC1,SNIP1
EMC2,FDPS
EMC2,GOLT1B
EMC2,MAPKAP1
EMC2,MBTPS2
EMC2,MCM3AP
EMC2,METTL17
EMC2,NUDC
EMC2,SEC22B
EMC2,USE1
EMC2,VPS29
EMC2,WDR7
EMC4,EMC7
EMC4,FDPS
EMC4,GTF2H4
EMC4,MAT2A
EMC4,MED23
EMC4,NCAPD2
EMC4,RPL10
EMC6,FDPS
EMC6,NUTF2
EMC6,SRP19
EMC7,EXOSC2
EMC7,FDPS
EMC7,GTF2H4
EMC7,MED1
EMC7,MRPS14
EMC7,TIMELESS
EMG1,EXOSC2
EMG1,EXOSC4
EMG1,FAM208A
ERH,FIP1L1
ERH,INTS5
ERH,KIF14
ERH,MBTPS2
ERH,NUDC
ERH,SLC39A9
ERH,VPS72
ERH,ZNF574
EXOSC2,FAM50A
EXOSC2,MPHOSPH6
EXOSC2,PELO
EXOSC2,PSPH
EXOSC2,RINT1
EXOSC2,RPL35
EXOSC2,RPS18
EXOSC2,SNAPC1
EXOSC2,XRN2
EXOSC2,ZCCHC9
EXOSC4,HUS1
EXOSC4,LTN1
EXOSC4,MPHOSPH6
EXOSC4,NEMF
EXOSC4,PELO
EXOSC4,RPL10
EXOSC4,XRN2
EXOSC4,ZCCHC9
EXOSC6,MRPL22
EXOSC6,PELO
EXOSC9,HUS1
EXOSC9,MPHOSPH6
EXOSC9,PELO
EXOSC9,PRIM2
EXOSC9,PSMD12
EXOSC9,XRN2
EXOSC9,ZCCHC9
FAM208A,INTS3
FAM208A,NOP58
FAM208A,POLE2
FAM208A,PPP2R2A
FAM208A,PRIM2
FAM208A,PSMD12
FAM208A,RPS18
FAM208A,RPS28
FAM208A,SKIV2L
FAM208A,SNRPB
FAM208A,SNRPC
FAM208A,TCOF1
FAM208A,TIMELESS
FAM208A,TRRAP
FAM50A,GNL3L
FAM50A,LEO1
FAM50A,MRPS11
FAM50A,MTPAP
FAM50A,RPL30
FAM50A,TAF2
FAM50A,TRA2B
FAM50A,TUBB
FAM50A,WDR61
FAM50A,ZNF830
FAM98B,INTS5
FAM98B,SSB
FARSA,FIP1L1
FARSA,RPL35
FARSA,TRMT5
FARSB,INTS5
FARSB,LEO1
FDPS,HUS1
FDPS,MED23
FDPS,MED9
FDPS,PPP2R1A
FDPS,RINT1
FDPS,RRM1
FDPS,TCOF1
FDPS,TIMELESS
FDPS,TRNAU1AP
FDPS,UBA2
FDPS,USE1
FDPS,VPS29
FDPS,WDR7
FDPS,WDR77
FDPS,XPO1
FH,HUS1
FH,PAFAH1B1
FH,ZNF830
FIP1L1,GOLT1B
FIP1L1,LEO1
FIP1L1,NDUFB1
FIP1L1,TIPIN
FIP1L1,WDR61
GEMIN2,GEMIN4
GEMIN2,GTF2H4
GEMIN4,GTF2E1
GEMIN4,GTF2H1
GEMIN4,GTF2H4
GEMIN4,LEO1
GEMIN4,MED14
GEMIN4,MED23
GEMIN4,SNRPD3
GFER,HUS1
GFER,MINOS1-NBL1
GFER,ROMO1
GFER,XRN2
GFER,ZNF598
