V1,V2
MRPL36,MRPS5
MRPL36,GATB
MRPL36,WDR61
MRPL37,MRPS21
MRPL37,MRPS28
MRPL37,MRPS5
MRPL37,GATB
MRPL39,MRPS5
MRPL39,GATB
MRPL39,WDR61
MRPL42,MRPS5
MRPL43,MRPS11
MRPL43,MRPS23
MRPL46,PSMD12
MRPL46,WDR61
MRPL50,PHF5A
MRPS10,MRPS14
MRPS11,MRPS23
MRPS11,MRPS5
MRPS11,GATB
MRPS11,WDR61
MRPS14,MRPS28
MRPS14,MRPS5
MRPS14,MRPS9
MRPS14,NCAPD2
MRPS18A,MRPS5
MRPS18A,WDR61
MRPS21,MRPS5
MRPS21,GATB
MRPS21,WDR61
MRPS23,MRPS5
MRPS23,WDR61
MRPS25,GATB
MRPS28,GATB
MRPS30,SNAPC1
MRPS30,WDR61
MRPS35,MRPS5
MRPS5,GATB
MRPS5,PTCD1
MRPS5,WDR61
MRPS9,WDR61
MTBP,RTF1
MTOR,SNAPC1
MTPAP,WDR61
MZT1,PRPF18
MZT1,REXO2
MZT1,SMC5
MZT1,TBCB
MZT1,UBA2
MZT1,WDR7
NAA25,NDUFA2
NAA25,SNAPC1
NACA,RPL24
NACA,ZNHIT6
NAMPT,SNAPC1
NAT10,ZNF574
NCAPD2,NSMCE1
NCAPD2,PPP2R1A
NCAPD2,XRN2
NCBP1,SDHC
NCBP1,SNAPC1
NDUFA2,PSMD6
NDUFA2,UBA2
NDUFA2,YTHDC1
NDUFA8,NDUFA9
NDUFA8,NDUFB1
NDUFA8,NDUFB2
NDUFA8,SDHC
NDUFA8,TMEM261
NDUFA8,UQCRB
NDUFA9,NDUFB1
NDUFA9,NDUFB2
NDUFA9,SDHC
NDUFA9,UQCRB
NDUFB1,NDUFB2
NDUFB1,NDUFB4
NDUFB1,SDHC
NDUFB1,UQCRB
NDUFB2,RTF1
NDUFB2,SDHC
NDUFB2,UQCRB
NDUFB4,SDHC
NDUFB4,UQCRB
NEMF,PSMD1
NEMF,RPL23
NFYC,SNAPC1
NFYC,SNRPG
NFYC,YTHDC1
NIP7,RPL35
NIP7,VPS29
NIP7,ZNF598
NOC2L,SNAPC1
NOL8,RPL23
NOL8,RPL35
NOL9,SNAPC1
NSMCE1,TTC4
NSMCE1,ZNHIT6
NUBP1,POLR3B
NUDC,OPA1
NUDC,PGD
NUDC,PSMB6
NUDC,TAZ
NUDC,USMG5
NUDC,XRN2
NUDC,YTHDC1
NUP54,SNAPC1
NUTF2,RPL13
NUTF2,RPL35
NUTF2,SLC35A1
NUTF2,TGIF2
OGFOD1,TAF2
OGFOD1,TUBGCP3
OGFOD1,UBA2
OPA1,PHF5A
OPA1,PPCS
OPA1,WDR61
OPA1,XRN2
ORAOV1,SNAPC1
PAFAH1B1,PSMD12
PAFAH1B1,SNRPG
PAFAH1B1,UBA2
PDCD7,SNRPG
PDRG1,SNRNP200
GATB,PTCD1
GATB,RBFA
GATB,TFB1M
PGD,PGK1
PHF5A,RPL35
PHF5A,SKA3
PHF5A,SPATA5
PITRM1,XRN2
PMF1,SNAPC1
PNN,ZNF830
POLD3,STXBP4
POLN,SNAPC1
POLR2B,RPL35
POLR2B,XPO1
POLR3A,SNAPC1
POLR3A,YTHDC1
POLR3B,PPCS
PPAT,UBA2
PPCS,PRMT5
PPCS,PSMB6
PPCS,PSMD12
PPCS,PSMD6
PPCS,RPL10
PPCS,RPL35
PPCS,SNAPC1
PPCS,UBA2
PPCS,USE1
PPP2R1A,PTTG1
PPP2R1A,RAD51
PPP2R2A,PSMD12
PPP2R2A,RBM17
PPP2R2A,SNAPC1
PPP2R2A,ZNF574
PRIM2,RPL35
PRIM2,SNAPC1
PRIM2,ZNHIT6
PRMT5,RPL23
PSMB6,RPL35
PSMB6,SNRPG
PSMB6,XRN2
PSMB6,ZNF574
PSMB6,ZNF830
PSMC1,PSMD12
PSMC1,PSMD6
PSMC2,RPL35
PSMC2,RPLP2
PSMC2,ZNF598
PSMD1,ROMO1
PSMD1,RPL23
PSMD1,RPL24
PSMD1,RPL30
PSMD1,RPSA
PSMD1,SAP18
PSMD1,SEH1L
PSMD1,TGIF2
PSMD1,ZNF598
PSMD12,RFC4
PSMD12,RPL30
PSMD12,RPL35
PSMD4,RPL11
PSMD4,RTF1
PSMD4,USE1
PSMD6,RPL24
PSPH,SNAPC1
PSPH,UBA2
PTCD1,SDHC
PTTG1,SKA3
PTTG1,TRA2B
QARS,UBA2
RAD51,TRA2B
RBBP8,TRRAP
RBBP8,ZNF598
RBFA,RPL35
RBM17,SNAPC1
RBM17,UBA2
REXO2,UBA2
RFC5,RPL35
RINT1,SNAPC1
RNGTT,UBA2
RPA3,SNAPC1
